INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,Rue_cote,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,Essence_ang,DHP,Date_releve,Date_plantation,LOCALISATION,Localisation_code,CODE_PARC,NOM_PARC,Rue_de,Rue_a,Distance_pave,Distance_ligne_rue,Stationnement_jour,Stationnement_heure,District,Remarquable,Code_secteur,Nom_secteur,Coord_X,Coord_Y,Latitude,Longitude
,0006170,15,Outremont,PARC PRATT,,      ,Parc,"295554,07","5041528,93",,ACER SACCHARINUM,,,"44,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295554,07","5041528,93",,
,0006171,15,Outremont,PARC PRATT,,      ,Parc,"295555,27","5041505,57",,ACER SACCHARINUM,,,"45,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,1,,"295555,27","5041505,57",,
,0006173,15,Outremont,PARC PRATT,,      ,Parc,"295572,92","5041494,93",,ACER PLATANOIDES,,,"38,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,1,,"295572,92","5041494,93",,
,0006175,15,Outremont,PARC PRATT,,      ,Parc,"295590,07","5041484,10",,ACER PLATANOIDES,,,"56,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295590,07","5041484,10",,
,0006176,15,Outremont,PARC PRATT,,      ,Parc,"295597,31","5041480,15",,ACER PLATANOIDES,,,"35,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,1,,"295597,31","5041480,15",,
,0006177,15,Outremont,PARC PRATT,,      ,Parc,"295604,84","5041475,68",,ACER PLATANOIDES,,,"33,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,1,,"295604,84","5041475,68",,
,0006178,15,Outremont,PARC PRATT,,      ,Parc,"295635,70","5041515,24",,ULMUS PUMILA,,,"60,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,1,,"295635,70","5041515,24",,
,0006179,15,Outremont,PARC PRATT,,,Parc,"295639,56","5041521,64",,ULMUS 'ACCOLADE',,,"5,00",2019-02.05,,0,,,,,,"0,00",,Tout temps,,,,1,,"295639,56","5041521,64",,
,0006180,15,Outremont,PARC PRATT,,      ,Parc,"295648,25","5041533,35",,ACER SACCHARINUM,,,"49,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,1,,"295648,25","5041533,35",,
,0006181,15,Outremont,PARC PRATT,,      ,Parc,"295596,91","5041567,11",,FRAXINUS PENNSYLVANICA,,,"51,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295596,91","5041567,11",,
,0006182,15,Outremont,PARC PRATT,,      ,Parc,"295602,56","5041548,21",,PICEA PUNGENS,,,"21,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295602,56","5041548,21",,
,0006183,15,Outremont,PARC PRATT,,      ,Parc,"295608,94","5041545,37",,JUGLANS CINEREA,,,"97,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295608,94","5041545,37",,
,0006185,15,Outremont,PARC PRATT,,      ,Parc,"295605,20","5041538,48",,PICEA GLAUCA,,,"12,00",2014-02.06,,0,,,,,,"0,00",,0,,,,1,,"295605,20","5041538,48",,
,0006186,15,Outremont,PARC PRATT,,,Parc,"295604,11","5041536,86",,RHAMNUS CATHARTICA,,,"13,00",2021-08.09,,0,,,,,,"0,00",,0,,,,1,,"295604,11","5041536,86",,
,0006187,15,Outremont,PARC PRATT,,      ,Parc,"295602,68","5041537,20",,PICEA GLAUCA,,,"19,00",2021-08.09,,0,,,,,,"0,00",,0,,,,1,,"295602,68","5041537,20",,
,0006188,15,Outremont,PARC PRATT,,      ,Parc,"295603,48","5041538,19",,PICEA GLAUCA,,,"15,00",2014-02.06,,0,,,,,,"0,00",,0,,,,1,,"295603,48","5041538,19",,
,0006189,15,Outremont,PARC PRATT,,      ,Parc,"295601,38","5041539,75",,PICEA GLAUCA,,,"25,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295601,38","5041539,75",,
,0006190,15,Outremont,PARC PRATT,,      ,Parc,"295603,90","5041533,61",,ACER SACCHARINUM,,,"82,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295603,90","5041533,61",,
,0006191,15,Outremont,PARC PRATT,,      ,Parc,"295598,24","5041534,57",,PICEA GLAUCA,,,"22,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295598,24","5041534,57",,
,0006192,15,Outremont,PARC PRATT,,      ,Parc,"295594,83","5041532,92",,PICEA GLAUCA,,,"21,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295594,83","5041532,92",,
,0006193,15,Outremont,PARC PRATT,,      ,Parc,"295591,78","5041534,08",,PICEA GLAUCA,,,"28,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295591,78","5041534,08",,
,0006194,15,Outremont,PARC PRATT,,,Parc,"295589,94","5041527,00",,AESCULUS H.  BAUMANII,,,"5,00",2025-09.25,,0,,,,,,"0,00",,0,,,,1,,"295589,94","5041527,00",,
,0006196,15,Outremont,PARC PRATT,,,Parc,"295582,29","5041515,72",,TILIA AMERICANA,,,"5,00",2025-09.25,,0,,,,,,"0,00",,0,,,,1,,"295582,29","5041515,72",,
,0006197,15,Outremont,PARC PRATT,,      ,Parc,"295576,68","5041527,17",,ACER SACCHARINUM,,,"62,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295576,68","5041527,17",,
,0006198,15,Outremont,PARC PRATT,,      ,Parc,"295573,49","5041535,17",,PICEA PUNGENS,,,"58,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295573,49","5041535,17",,
,0006199,15,Outremont,PARC PRATT,,      ,Parc,"295568,36","5041525,62",,TILIA CORDATA,,,"61,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295568,36","5041525,62",,
,0006201,15,Outremont,PARC PRATT,,      ,Parc,"295560,05","5041514,19",,CRATAEGUS X MORDENENSIS  TOBA,,,"44,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295560,05","5041514,19",,
,0006203,15,Outremont,PARC PRATT,,      ,Parc,"295573,52","5041512,73",,ACER PLATANOIDES,,,"39,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295573,52","5041512,73",,
,0006205,15,Outremont,PARC PRATT,,      ,Parc,"295583,63","5041494,02",,GLEDITSIA TRIACANTHOS INERMIS,,,"32,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295583,63","5041494,02",,
,0006206,15,Outremont,PARC PRATT,,,Parc,"295592,70","5041500,81",,RHAMNUS CATHARTICA,,,"26,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295592,70","5041500,81",,
,0006207,15,Outremont,PARC PRATT,,,Parc,"295592,18","5041502,49",,RHAMNUS CATHARTICA,,,"28,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295592,18","5041502,49",,
,0006208,15,Outremont,PARC PRATT,,,Parc,"295593,97","5041503,14",,RHAMNUS CATHARTICA,,,"26,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295593,97","5041503,14",,
,0006209,15,Outremont,PARC PRATT,,,Parc,"295597,51","5041503,87",,RHAMNUS CATHARTICA,,,"13,00",2021-08.09,,0,,,,,,"0,00",,0,,,,1,,"295597,51","5041503,87",,
,0006210,15,Outremont,PARC PRATT,,      ,Parc,"295595,76","5041502,31",,THUYA OCCIDENTALIS,,,"33,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295595,76","5041502,31",,
,0006211,15,Outremont,PARC PRATT,,      ,Parc,"295600,24","5041507,40",,PICEA PUNGENS,,,"27,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295600,24","5041507,40",,
,0006212,15,Outremont,PARC PRATT,,,Parc,"295591,65","5041515,60",,RHAMNUS CATHARTICA,,,"15,00",2021-08.09,,0,,,,,,"0,00",,0,,,,1,,"295591,65","5041515,60",,
,0006213,15,Outremont,PARC PRATT,,      ,Parc,"295605,16","5041525,46",,GLEDITSIA TRIACANTHOS INERMIS,,,"37,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295605,16","5041525,46",,
,0006215,15,Outremont,PARC PRATT,,,Parc,"295616,44","5041526,79",,RHAMNUS CATHARTICA,,,"10,00",2021-08.09,,0,,,,,,"0,00",,0,,,,1,,"295616,44","5041526,79",,
,0006216,15,Outremont,PARC PRATT,,      ,Parc,"295615,36","5041538,19",,LARIX LARICINA,,,"5,00",2021-08.09,,0,,,,,,"0,00",,0,,,,1,,"295615,36","5041538,19",,
,0006218,15,Outremont,PARC PRATT,,      ,Parc,"295623,35","5041527,77",,PINUS SYLVESTRIS,,,"50,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295623,35","5041527,77",,
,0006219,15,Outremont,PARC PRATT,,      ,Parc,"295626,55","5041527,41",,PINUS SYLVESTRIS,,,"31,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295626,55","5041527,41",,
,0006220,15,Outremont,PARC PRATT,,      ,Parc,"295623,98","5041524,05",,ACER PLATANOIDES,,,"61,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295623,98","5041524,05",,
,0006222,15,Outremont,PARC PRATT,,      ,Parc,"295619,44","5041513,72",,THUYA OCCIDENTALIS,,,"29,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295619,44","5041513,72",,
,0006223,15,Outremont,PARC PRATT,,      ,Parc,"295610,22","5041515,56",,THUYA OCCIDENTALIS,,,"30,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295610,22","5041515,56",,
,0006224,15,Outremont,PARC PRATT,,,Parc,"295612,34","5041513,88",,RHAMNUS CATHARTICA,,,"24,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295612,34","5041513,88",,
,0006226,15,Outremont,PARC PRATT,,      ,Parc,"295604,06","5041509,26",,PICEA PUNGENS,,,"28,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295604,06","5041509,26",,
,0006227,15,Outremont,PARC PRATT,,      ,Parc,"295607,89","5041509,56",,PICEA PUNGENS,,,"25,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295607,89","5041509,56",,
,0006228,15,Outremont,PARC PRATT,,      ,Parc,"295604,40","5041502,43",,PICEA PUNGENS,,,"42,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295604,40","5041502,43",,
,0006229,15,Outremont,PARC PRATT,,      ,Parc,"295607,45","5041505,12",,PICEA PUNGENS,,,"26,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295607,45","5041505,12",,
,0006231,15,Outremont,PARC PRATT,,      ,Parc,"295607,75","5041502,56",,PINUS SYLVESTRIS,,,"35,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295607,75","5041502,56",,
,0006232,15,Outremont,PARC PRATT,,      ,Parc,"295615,37","5041508,77",,PICEA PUNGENS,,,"28,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295615,37","5041508,77",,
,0006233,15,Outremont,PARC PRATT,,      ,Parc,"295617,14","5041505,56",,PICEA PUNGENS,,,"35,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295617,14","5041505,56",,
,0006238,15,Outremont,PARC PRATT,,      ,Parc,"295614,19","5041501,81",,ULMUS AMERICANA,,,"29,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295614,19","5041501,81",,
,0006241,15,Outremont,PARC PRATT,,      ,Parc,"295621,83","5041492,99",,ROBINIA PSEUDOACACIA,,,"28,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,1,,"295621,83","5041492,99",,
,0006247,15,Outremont,PARC PRATT,,      ,Parc,"295615,80","5041488,76",,ROBINIA PSEUDOACACIA,,,"34,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295615,80","5041488,76",,
,0006248,15,Outremont,PARC PRATT,,      ,Parc,"295608,81","5041487,25",,PINUS SYLVESTRIS,,,"33,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295608,81","5041487,25",,
,0006249,15,Outremont,PARC PRATT,,      ,Parc,"295607,55","5041489,70",,PINUS SYLVESTRIS,,,"18,00",2021-08.09,,0,,,,,,"0,00",,0,,,,1,,"295607,55","5041489,70",,
,0006252,15,Outremont,PARC PRATT,,,Parc,"295606,73","5041493,04",,RHAMNUS CATHARTICA,,,"10,00",2021-08.09,,0,,,,,,"0,00",,0,,,,1,,"295606,73","5041493,04",,
,0006253,15,Outremont,PARC PRATT,,      ,Parc,"295603,45","5041495,44",,PICEA PUNGENS,,,"38,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295603,45","5041495,44",,
,0006254,15,Outremont,PARC PRATT,,      ,Parc,"295597,94","5041492,37",,CATALPA SPECIOSA,,,"79,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295597,94","5041492,37",,
,0006255,15,Outremont,PARC PRATT,,      ,Parc,"295600,76","5041485,00",,QUERCUS RUBRA,,,"39,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,1,,"295600,76","5041485,00",,
,0006257,15,Outremont,PARC PRATT,,      ,Parc,"295628,66","5041515,22",,PICEA PUNGENS,,,"45,00",2024-07.26,,0,,,,,,"0,00",,0,,,,1,,"295628,66","5041515,22",,
,0006258,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295803,31","5042423,22",,FRAXINUS PENNSYLVANICA,,,"42,00",2024-09.17,,0,,,,,,"0,00",,Tout temps,,,,3,,"295803,31","5042423,22",,
,0006259,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295802,58","5042414,66",,TILIA TOMENTOSA,,,"4,00",2023-03.19,,0,,,,,,"0,00",,0,,,,3,,"295802,58","5042414,66",,
,0006260,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295799,74","5042417,87",,QUERCUS RUBRA,,,"41,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295799,74","5042417,87",,
,0006261,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295791,19","5042422,44",,ACER SACCHARINUM,,,"62,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295791,19","5042422,44",,
,0006262,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295793,63","5042428,94",,ACER PLATANOIDES,,,"37,00",2024-09.13,,0,,,,,,"0,00",,Tout temps,,,,3,,"295793,63","5042428,94",,
,0006263,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295786,05","5042433,78",,TILIA CORDATA,,,"46,00",2024-09.13,,0,,,,,,"0,00",,Tout temps,,,,3,,"295786,05","5042433,78",,
,0006264,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295778,18","5042427,74",,ACER SACCHARINUM,,,"78,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295778,18","5042427,74",,
,0006265,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295779,88","5042435,49",,ACER PLATANOIDES,,,"46,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295779,88","5042435,49",,
,0006266,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295770,15","5042435,39",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"4,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295770,15","5042435,39",,
,0006267,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295772,63","5042440,20",,ACER SACCHARINUM,,,"47,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295772,63","5042440,20",,
,0006268,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295764,31","5042437,09",,ACER PLATANOIDES COLUMNARE,,,"48,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295764,31","5042437,09",,
,0006269,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295756,32","5042434,38",,ACER PLATANOIDES,,,"41,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295756,32","5042434,38",,
,0006270,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295751,07","5042437,46",,TILIA CORDATA,,,"59,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295751,07","5042437,46",,
,0006271,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295758,51","5042439,35",,ACER SACCHARINUM,,,"50,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295758,51","5042439,35",,
,0006272,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295765,01","5042446,65",,TILIA CORDATA,,,"41,00",2025-06.20,,0,,,,,,"0,00",,Tout temps,,,,3,,"295765,01","5042446,65",,
,0006273,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295757,87","5042451,01",,ACER PLATANOIDES,,,"53,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295757,87","5042451,01",,
,0006274,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295750,56","5042446,70",,TILIA CORDATA,,,"51,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295750,56","5042446,70",,
,0006275,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295744,03","5042448,92",,FRAXINUS PENNSYLVANICA,,,"49,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295744,03","5042448,92",,
,0006276,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295749,99","5042456,76",,ACER PLATANOIDES,,,"44,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295749,99","5042456,76",,
,0006277,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295744,72","5042460,69",,FRAXINUS PENNSYLVANICA,,,"38,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295744,72","5042460,69",,
,0006278,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295742,17","5042459,91",,TILIA CORDATA,,,"42,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295742,17","5042459,91",,
,0006279,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295739,26","5042456,42",,ACER PLATANOIDES,,,"30,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295739,26","5042456,42",,
,0006280,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295733,82","5042455,30",,GLEDITSIA T. I.  SHADEMASTER,,,"8,00",2021-08.03,,0,,,,,,"0,00",,Tout temps,,,,3,,"295733,82","5042455,30",,
,0006281,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295728,86","5042447,46",,FRAXINUS PENNSYLVANICA,,,"32,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295728,86","5042447,46",,
,0006282,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295735,51","5042441,91",,ACER SACCHARINUM,,,"69,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295735,51","5042441,91",,
,0006283,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295725,20","5042441,00",,JUGLANS CINEREA,,,"5,00",2015-02.11,,0,,,,,,"0,00",,Tout temps,,,,3,,"295725,20","5042441,00",,
,0006284,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295729,77","5042433,14",,TILIA CORDATA,,,"57,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295729,77","5042433,14",,
,0006285,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295729,94","5042426,48",,ACER SACCHARINUM,,,"38,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295729,94","5042426,48",,
,0006286,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295720,32","5042431,28",,FRAXINUS PENNSYLVANICA,,,"56,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295720,32","5042431,28",,
,0006287,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295715,59","5042424,11",,FRAXINUS PENNSYLVANICA,,,"28,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295715,59","5042424,11",,
,0006288,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295717,87","5042413,04",,ACER SACCHARINUM,,,"79,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295717,87","5042413,04",,
,0006291,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295713,15","5042405,02",,TILIA CORDATA,,,"47,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295713,15","5042405,02",,
,0006292,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295708,90","5042413,89",,FRAXINUS PENNSYLVANICA,,,"43,00",2024-07.26,,0,,,,,,"0,00",,Tout temps,,,,3,,"295708,90","5042413,89",,
,0006293,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295706,17","5042410,10",,ULMUS PUMILA,,,"41,00",2025-11.13,,0,,,,,,"0,00",,Tout temps,,,,3,,"295706,17","5042410,10",,
,0006294,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295702,46","5042404,40",,FRAXINUS PENNSYLVANICA,,,"34,00",2024-09.13,,0,,,,,,"0,00",,Tout temps,,,,3,,"295702,46","5042404,40",,
,0006295,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295699,29","5042398,72",,GLEDITSIA,,,"25,00",2024-09.13,,0,,,,,,"0,00",,Tout temps,,,,3,,"295699,29","5042398,72",,
,0006298,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295692,96","5042384,96",,ACER PLATANOIDES,,,"23,00",2024-09.12,,0,,,,,,"0,00",,0,,,,3,,"295692,96","5042384,96",,
,0006300,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295689,78","5042377,73",,ACER PLATANOIDES,,,"46,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295689,78","5042377,73",,
,0006301,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295684,45","5042377,68",,GLEDITSIA TRIACANTHOS INERMIS,,,"38,00",2024-09.13,,0,,,,,,"0,00",,Tout temps,,,,3,,"295684,45","5042377,68",,
,0006302,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295694,67","5042375,27",,TILIA CORDATA,,,"46,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295694,67","5042375,27",,
,0006303,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295700,12","5042384,09",,ACER SACCHARINUM,,,"54,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295700,12","5042384,09",,
,0006304,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295703,13","5042388,42",,ACER PLATANOIDES,,,"40,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295703,13","5042388,42",,
,0006305,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295705,88","5042393,20",,ACER SACCHARINUM,,,"39,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295705,88","5042393,20",,
,0006306,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295708,40","5042397,83",,ACER PLATANOIDES,,,"29,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295708,40","5042397,83",,
,0006307,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295713,06","5042395,40",,ACER SACCHARINUM,,,"64,00",2024-09.12,,0,,,,,,"0,00",,0,,,,3,,"295713,06","5042395,40",,
,0006309,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295718,79","5042392,14",,ACER SACCHARUM,,,"48,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295718,79","5042392,14",,
,0006310,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295715,59","5042389,07",,GLEDITSIA,,,"36,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295715,59","5042389,07",,
,0006313,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295698,73","5042368,19",,QUERCUS RUBRA,,,"45,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295698,73","5042368,19",,
,0006315,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295693,70","5042362,87",,ULMUS AMERICANA 'PRINCETON',,,"10,00",2024-09.13,,0,,,,,,"0,00",,Tout temps,,,,3,,"295693,70","5042362,87",,
,0006316,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295710,67","5042352,14",,ULMUS AMERICANA 'PRINCETON',,,"10,00",2024-09.13,,0,,,,,,"0,00",,Tout temps,,,,3,,"295710,67","5042352,14",,
,0006317,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295707,34","5042360,02",,TILIA CORDATA,,,"55,00",2024-09.12,,0,,,,,,"0,00",,0,,,,3,,"295707,34","5042360,02",,
,0006318,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295711,31","5042370,27",,ACER SACCHARINUM,,,"65,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295711,31","5042370,27",,
,0006319,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295714,49","5042376,93",,ACER SACCHARINUM,,,"47,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295714,49","5042376,93",,
,0006320,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295722,32","5042380,02",,QUERCUS RUBRA,,,"45,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295722,32","5042380,02",,
,0006321,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295720,03","5042374,82",,TILIA CORDATA,,,"47,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295720,03","5042374,82",,
,0006323,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295712,08","5042359,43",,QUERCUS RUBRA,,,"43,00",2024-09.13,,0,,,,,,"0,00",,0,,,,3,,"295712,08","5042359,43",,
,0006324,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295720,74","5042363,97",,TILIA CORDATA,,,"50,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295720,74","5042363,97",,
,0006325,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295723,62","5042368,79",,ACER SACCHARUM,,,"32,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295723,62","5042368,79",,
,0006326,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295728,15","5042375,34",,ACER SACCHARINUM,,,"68,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295728,15","5042375,34",,
,0006328,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295749,63","5042409,50",,FRAXINUS PENNSYLVANICA,,,"69,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295749,63","5042409,50",,
,0006329,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295753,49","5042416,39",,TILIA CORDATA,,,"79,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295753,49","5042416,39",,
,0006330,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295762,20","5042427,37",,ACER SACCHARINUM,,,"60,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295762,20","5042427,37",,
,0006331,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295727,07","5042360,19",,PICEA GLAUCA,,,"39,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295727,07","5042360,19",,
,0006332,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295728,76","5042350,68",,TILIA CORDATA,,,"57,00",2024-07.26,,0,,,,,,"0,00",,0,,,,3,,"295728,76","5042350,68",,
,0006333,15,Outremont,PARC J.F. KENNEDY,,      ,Parc,"295719,54","5042345,97",,ACER FREEMANII AUTUMN BLAZE,,,"5,00",2025-10.16,,0,,,,,,"0,00",,Tout temps,,,,3,,"295719,54","5042345,97",,
